img1,img2, label
backend/detection/cnn_model/authed_people/92b9f61c-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/94c49066-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/8f2335c2-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/95a120b2-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/90618a92-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/71.png,0
backend/detection/cnn_model/authed_people/9554846e-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/10.png,0
backend/detection/cnn_model/authed_people/9136f0d8-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/95ce5e1a-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/918d90aa-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/250.png,0
backend/detection/cnn_model/authed_people/91c5815e-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/350.png,0
backend/detection/cnn_model/authed_people/953b5066-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/0.png,0
backend/detection/cnn_model/authed_people/92960da6-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/7.png,0
backend/detection/cnn_model/authed_people/90d12bfe-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/182.png,0
backend/detection/cnn_model/authed_people/91a20c6a-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/71.png,0
backend/detection/cnn_model/authed_people/903dcbd4-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/90c25f20-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/944bb5f6-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/941776d8-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/9431d6e0-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/59.png,0
backend/detection/cnn_model/authed_people/8ef04d74-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/92fbee82-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/9399eb50-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/107.png,0
backend/detection/cnn_model/authed_people/92266118-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/901912da-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/91ca752e-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/144.png,0
backend/detection/cnn_model/authed_people/92c411ec-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/175.png,0
backend/detection/cnn_model/authed_people/9379073c-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/8fd6aba2-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/921c67ee-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/8f4ddd72-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/8f1e4c24-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/954a6e84-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/94a7a5be-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/9456bf46-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/933e4642-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/185.png,0
backend/detection/cnn_model/authed_people/9379073c-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/113.png,0
backend/detection/cnn_model/authed_people/907fbcce-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/9281bf72-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/910d558e-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/244.png,0
backend/detection/cnn_model/authed_people/91ed89b0-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/147.png,0
backend/detection/cnn_model/authed_people/9005d058-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/95c94b32-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/8fe1de50-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/182.png,0
backend/detection/cnn_model/authed_people/92ecbc46-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/133.png,0
backend/detection/cnn_model/authed_people/90fe09f8-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/275.png,0
backend/detection/cnn_model/authed_people/8fa41bd8-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/186.png,0
backend/detection/cnn_model/authed_people/8eeb3f6e-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/955d1868-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/93ae5fcc-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/140.png,0
backend/detection/cnn_model/authed_people/91a20c6a-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/authed_people/8ffbaca4-5eab-11ef-bbcf-e63bca865d36.png,1
backend/detection/cnn_model/authed_people/92b9f61c-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/31.png,0
backend/detection/cnn_model/authed_people/8f858c40-5eab-11ef-bbcf-e63bca865d36.png,backend/detection/cnn_model/train/13.png,0
